Turbo Decoder End-to-End Report
symbols=6144 n_half_iter=11 f1=263 f2=480 total_outputs=6144 expected_outputs=6144
final_decision_symbols=6144 bit_errors_vs_original=4570
idx_orig pi_inv bit_orig bit_int_at_pi_inv l_sys_orig l_par1_orig l_par2_int final_llr hard_dec match_orig
417 5367 0 0 15 13 15 -20 1 ERR
418 3662 1 1 -8 5 -9 48 0 ERR
419 1381 1 1 -13 7 15 51 0 ERR
420 4668 0 0 6 8 15 -59 1 ERR
421 1235 1 1 -16 14 -14 43 0 ERR
422 3370 0 0 2 -10 -16 -56 1 ERR
423 4929 0 0 11 7 13 5 0 OK
424 5912 1 1 -16 -6 10 -15 1 OK
425 175 0 0 7 2 9 -47 1 ERR
426 6 0 0 11 15 -5 13 0 OK
427 5405 1 1 0 11 -8 45 0 ERR
428 4084 0 0 6 15 -15 -42 1 ERR
429 2187 0 0 13 0 5 -31 1 ERR
430 5858 1 1 -5 14 -2 -24 1 OK
431 2809 0 0 15 -5 15 -54 1 ERR
432 5328 0 0 15 -4 -16 -64 1 ERR
433 1127 1 1 -16 15 4 42 0 ERR
434 2494 0 0 15 8 -16 -16 1 ERR
435 3285 1 1 -16 -14 -6 35 0 ERR
436 3500 0 0 15 15 14 -16 1 ERR
437 3139 0 0 10 -13 -2 -51 1 ERR
438 2202 0 0 11 8 15 -22 1 ERR
439 689 0 0 9 15 15 -50 1 ERR
440 4744 0 0 14 -8 -14 -49 1 ERR
441 2079 0 0 12 -4 -14 -36 1 ERR
442 4982 0 0 0 -11 14 -43 1 ERR
443 1165 1 1 -16 1 6 37 0 ERR
444 2916 0 0 -3 -8 6 11 0 OK
445 4091 0 0 14 -7 12 -14 1 ERR
446 4690 1 1 -8 -7 -14 32 0 ERR
447 4713 1 1 -2 7 -4 14 0 ERR
448 4160 0 0 9 4 7 -15 1 ERR
449 3031 0 0 9 -16 14 13 0 OK
450 1326 1 1 -15 9 -15 -13 1 OK
451 5189 1 1 -1 -16 7 11 0 ERR
452 2332 0 0 1 11 10 22 0 OK
453 5043 1 1 -13 4 13 -21 1 OK
454 1034 1 1 -16 -16 0 26 0 ERR
455 2593 1 1 -12 15 -14 -21 1 OK
456 3576 1 1 -16 -6 0 18 0 ERR
457 3983 0 0 7 12 5 -12 1 ERR
458 3814 1 1 -5 15 10 20 0 ERR
459 3069 0 0 0 14 15 -20 1 ERR
460 1748 1 1 -16 15 -16 5 0 ERR
461 5995 0 0 -6 -8 15 -25 1 ERR
462 3522 1 1 -16 -16 -13 -7 1 OK
463 473 1 1 -16 -15 1 -28 1 OK
464 2992 1 1 -16 -16 -16 34 0 ERR
465 4935 1 1 -14 -16 -11 -43 1 OK
466 158 1 1 -16 -6 9 2 0 ERR
467 949 0 0 15 15 -6 25 0 OK
468 1164 0 0 5 3 5 27 0 OK
469 803 1 1 -16 -1 -15 34 0 ERR
470 6010 1 1 -3 13 11 33 0 ERR
471 4497 0 0 0 -3 15 -34 1 ERR
472 2408 1 1 -16 11 7 26 0 ERR
473 5887 1 1 -16 14 12 34 0 ERR
474 2646 0 0 15 5 -11 21 0 OK
475 4973 1 1 -11 15 -3 -21 1 OK
476 580 0 0 10 -15 -10 -60 1 ERR
477 1755 0 0 15 15 14 -23 1 ERR
478 2354 1 1 -16 -4 6 63 0 ERR
479 2377 1 1 -9 13 12 33 0 ERR
480 1824 1 1 -4 -14 11 45 0 ERR
481 695 0 0 5 6 -11 -35 1 ERR
482 5134 1 1 -5 14 -16 -20 1 OK
483 2853 1 1 -9 -16 -10 53 0 ERR
484 6140 0 0 6 -11 -15 -20 1 ERR
485 2707 0 0 -1 7 -9 -30 1 ERR
486 4842 0 0 15 -1 8 15 0 OK
487 257 1 1 -1 -6 15 33 0 ERR
488 1240 0 0 15 11 5 27 0 OK
489 1647 0 0 0 14 11 41 0 OK
490 1478 1 1 -16 10 15 -20 1 OK
491 733 0 0 -6 -16 -5 51 0 OK
492 5556 0 0 11 15 5 22 0 OK
