total_symbols=3200
rtl_coverage=3200
malformed_out_lines=0
hard_errors_vs_reference=4
sign_mismatch_vs_reference=4
mean_abs_llr_delta=0.406562
floating_coverage=3200
hard_errors_vs_floating=3
sign_mismatch_vs_floating=3
mean_abs_llr_delta_vs_floating=120800.953685

RTL vs Fixed-Point Reference (Original Domain)
idx bit_orig ref_hard rtl_hard ref_llr rtl_llr sign_match
566 0 0 0 -64.00000000 -64 OK
567 0 0 0 -64.00000000 -64 OK
568 0 0 0 -64.00000000 -64 OK
569 1 1 1 63.00000000 63 OK
570 1 1 1 63.00000000 63 OK
571 1 1 1 63.00000000 63 OK
572 0 0 0 -64.00000000 -64 OK
573 0 0 0 -64.00000000 -64 OK
574 0 0 0 -64.00000000 -64 OK
575 1 1 1 63.00000000 63 OK
576 1 1 1 63.00000000 63 OK
577 0 0 0 -64.00000000 -64 OK
578 0 0 0 -64.00000000 -64 OK
579 1 1 1 63.00000000 63 OK
580 1 1 1 63.00000000 63 OK
581 0 0 0 -64.00000000 -64 OK
582 0 0 0 -64.00000000 -64 OK
583 0 0 0 -64.00000000 -64 OK
584 1 1 1 63.00000000 63 OK
585 1 1 1 63.00000000 63 OK
586 1 1 1 63.00000000 63 OK
587 1 1 1 63.00000000 63 OK
588 1 1 1 63.00000000 63 OK
589 0 0 0 -64.00000000 -64 OK
590 0 0 0 -64.00000000 -64 OK
591 0 0 0 -64.00000000 -64 OK
592 0 0 0 -64.00000000 -64 OK
593 1 1 1 63.00000000 63 OK
594 1 1 1 63.00000000 63 OK
595 1 1 1 63.00000000 63 OK
596 0 0 0 -64.00000000 -64 OK
597 1 1 1 63.00000000 63 OK
598 0 0 0 -64.00000000 -64 OK
599 0 0 0 -64.00000000 -64 OK
600 0 0 0 -64.00000000 -64 OK
601 0 0 0 -64.00000000 -64 OK
602 0 0 0 -64.00000000 -64 OK
603 1 1 1 63.00000000 63 OK
604 1 1 1 63.00000000 63 OK
605 1 1 1 63.00000000 63 OK
606 0 0 0 -64.00000000 -64 OK
607 1 1 1 63.00000000 63 OK
608 1 1 1 63.00000000 63 OK
609 1 1 1 63.00000000 63 OK
610 1 1 1 63.00000000 63 OK
611 1 1 1 63.00000000 63 OK
612 1 1 1 63.00000000 63 OK
613 0 0 0 -64.00000000 -64 OK
614 1 1 1 63.00000000 63 OK
615 1 1 1 63.00000000 63 OK
616 1 1 1 63.00000000 63 OK
617 0 0 0 -64.00000000 -64 OK
618 1 1 1 63.00000000 63 OK
619 0 0 0 -64.00000000 -64 OK
620 1 1 1 63.00000000 63 OK
621 0 0 0 -64.00000000 -64 OK
622 1 1 1 63.00000000 63 OK
623 0 0 0 -64.00000000 -64 OK
624 1 1 1 63.00000000 63 OK
625 1 1 1 63.00000000 63 OK
626 1 1 1 63.00000000 63 OK
627 0 0 0 -64.00000000 -64 OK
628 1 1 1 63.00000000 63 OK
629 1 1 1 63.00000000 63 OK
630 0 0 0 -64.00000000 -64 OK
631 1 1 1 63.00000000 63 OK
