total_symbols=6144
rtl_coverage=6144
rtl_bit_errors_vs_original=4570
rtl_ber_vs_original=0.74381510
fixed_reference_bit_errors_vs_original=6141
fixed_reference_ber_vs_original=0.99951172
hard_errors_vs_reference=1571
sign_mismatch_vs_reference=1571
mean_abs_llr_delta=40.471354
floating_coverage=6144
floating_reference_bit_errors_vs_original=6139
floating_reference_ber_vs_original=0.99918620
hard_errors_vs_floating=1573
sign_mismatch_vs_floating=1573
mean_abs_llr_delta_vs_floating=52215.269648

RTL vs Fixed-Point Reference (Original Domain)
idx bit_orig ref_hard rtl_hard ref_llr rtl_llr sign_match rtl_match_orig ref_match_orig
295 0 1 1 -64.00000000 -29 OK ERR ERR
296 1 0 0 63.00000000 32 OK ERR ERR
297 1 0 1 63.00000000 -45 ERR OK ERR
298 1 0 0 63.00000000 23 OK ERR ERR
299 1 0 0 63.00000000 38 OK ERR ERR
300 1 0 0 63.00000000 28 OK ERR ERR
301 0 1 0 -64.00000000 23 ERR OK ERR
302 0 1 1 -64.00000000 -5 OK ERR ERR
303 0 1 1 -64.00000000 -54 OK ERR ERR
304 1 0 0 63.00000000 63 OK ERR ERR
305 1 0 0 63.00000000 63 OK ERR ERR
306 0 1 1 -64.00000000 -24 OK ERR ERR
307 1 0 1 63.00000000 -50 ERR OK ERR
308 0 1 1 -64.00000000 -63 OK ERR ERR
309 0 1 1 -64.00000000 -62 OK ERR ERR
310 0 1 1 -64.00000000 -58 OK ERR ERR
311 0 1 0 -64.00000000 13 ERR OK ERR
312 0 1 1 -64.00000000 -39 OK ERR ERR
313 0 1 1 -64.00000000 -15 OK ERR ERR
314 1 0 0 63.00000000 48 OK ERR ERR
315 0 1 1 -64.00000000 -47 OK ERR ERR
316 1 0 0 63.00000000 28 OK ERR ERR
317 0 1 0 -64.00000000 26 ERR OK ERR
318 1 0 1 63.00000000 -20 ERR OK ERR
319 0 1 1 -64.00000000 -44 OK ERR ERR
320 0 1 1 -64.00000000 -7 OK ERR ERR
321 1 0 0 63.00000000 7 OK ERR ERR
322 0 1 1 -64.00000000 -21 OK ERR ERR
323 0 1 1 -64.00000000 -21 OK ERR ERR
324 1 0 0 63.00000000 44 OK ERR ERR
325 1 0 0 63.00000000 63 OK ERR ERR
326 0 1 1 -64.00000000 -22 OK ERR ERR
327 0 1 1 -64.00000000 -22 OK ERR ERR
328 0 1 0 -64.00000000 34 ERR OK ERR
329 0 1 1 -64.00000000 -64 OK ERR ERR
330 0 1 1 -64.00000000 -37 OK ERR ERR
331 0 1 1 -64.00000000 -47 OK ERR ERR
332 1 0 0 63.00000000 29 OK ERR ERR
333 0 1 1 -64.00000000 -42 OK ERR ERR
334 0 1 1 -64.00000000 -60 OK ERR ERR
335 0 1 1 -64.00000000 -56 OK ERR ERR
336 0 1 1 -64.00000000 -56 OK ERR ERR
337 0 1 1 -64.00000000 -64 OK ERR ERR
338 0 1 1 -64.00000000 -64 OK ERR ERR
339 0 1 1 -64.00000000 -64 OK ERR ERR
340 0 1 1 -64.00000000 -64 OK ERR ERR
341 1 0 0 63.00000000 63 OK ERR ERR
342 1 0 0 63.00000000 63 OK ERR ERR
343 0 1 1 -64.00000000 -64 OK ERR ERR
344 1 0 0 63.00000000 63 OK ERR ERR
345 1 0 0 63.00000000 58 OK ERR ERR
346 0 1 1 -64.00000000 -37 OK ERR ERR
347 0 1 1 -64.00000000 -39 OK ERR ERR
348 0 1 0 -64.00000000 5 ERR OK ERR
349 1 0 1 63.00000000 -5 ERR OK ERR
350 0 1 1 -64.00000000 -35 OK ERR ERR
351 0 1 0 -64.00000000 5 ERR OK ERR
352 0 1 1 -64.00000000 -56 OK ERR ERR
353 0 1 1 -64.00000000 -20 OK ERR ERR
354 0 1 1 -64.00000000 -16 OK ERR ERR
355 1 0 1 63.00000000 -19 ERR OK ERR
356 0 1 1 -64.00000000 -36 OK ERR ERR
357 0 1 0 -64.00000000 16 ERR OK ERR
358 1 0 0 63.00000000 18 OK ERR ERR
359 1 0 0 63.00000000 44 OK ERR ERR
360 0 1 1 -64.00000000 -46 OK ERR ERR
361 0 1 0 -64.00000000 34 ERR OK ERR
362 1 0 0 63.00000000 33 OK ERR ERR
363 1 0 0 63.00000000 35 OK ERR ERR
364 0 1 1 -64.00000000 -19 OK ERR ERR
365 0 1 1 -64.00000000 -10 OK ERR ERR
366 1 0 0 63.00000000 19 OK ERR ERR
367 1 0 1 63.00000000 -31 ERR OK ERR
368 0 1 1 -64.00000000 -41 OK ERR ERR
369 0 1 1 -64.00000000 -25 OK ERR ERR
370 1 0 1 63.00000000 -64 ERR OK ERR
371 0 1 1 -64.00000000 -16 OK ERR ERR
372 1 0 0 63.00000000 27 OK ERR ERR
373 1 0 0 63.00000000 21 OK ERR ERR
374 1 0 0 63.00000000 6 OK ERR ERR
375 1 0 0 63.00000000 18 OK ERR ERR
376 0 1 1 -64.00000000 -64 OK ERR ERR
377 1 0 1 63.00000000 -6 ERR OK ERR
378 1 0 0 63.00000000 56 OK ERR ERR
379 0 1 1 -64.00000000 -58 OK ERR ERR
380 1 0 1 63.00000000 -64 ERR OK ERR
381 1 0 1 63.00000000 -11 ERR OK ERR
382 0 1 1 -64.00000000 -64 OK ERR ERR
383 1 0 0 63.00000000 16 OK ERR ERR
384 1 0 0 63.00000000 43 OK ERR ERR
385 0 1 1 -64.00000000 -64 OK ERR ERR
