Turbo Decoder End-to-End Report
symbols=6144 n_half_iter=11 f1=263 f2=480 total_outputs=6144 expected_outputs=6144
final_decision_symbols=6144 bit_errors_vs_original=40
idx_orig pi_inv bit_orig bit_int_at_pi_inv l_sys_orig l_par1_orig l_par2_int final_llr hard_dec match_orig
422 3370 0 0 10 13 -14 -64 0 OK
423 4929 0 0 11 -16 4 -64 0 OK
424 5912 0 0 12 -4 10 -64 0 OK
425 175 1 1 -11 -16 0 63 1 OK
426 6 0 0 1 -16 -5 -64 0 OK
427 5405 1 1 -4 -4 -16 63 1 OK
428 4084 1 1 -15 1 8 63 1 OK
429 2187 0 0 7 -5 15 -64 0 OK
430 5858 0 0 10 -11 -6 -64 0 OK
431 2809 0 0 10 -5 5 -64 0 OK
432 5328 1 1 -6 -11 -8 63 1 OK
433 1127 1 1 -15 10 -2 63 1 OK
434 2494 0 0 6 -4 -2 -64 0 OK
435 3285 0 0 4 -7 -1 -64 0 OK
436 3500 1 1 -12 4 -11 63 1 OK
437 3139 1 1 -16 -14 15 63 1 OK
438 2202 1 1 -7 -5 -15 63 1 OK
439 689 1 1 -12 15 5 63 1 OK
440 4744 1 1 -5 -2 -8 63 1 OK
441 2079 1 1 3 9 4 63 1 OK
442 4982 1 1 -16 -13 -4 63 1 OK
443 1165 1 1 -12 7 4 63 1 OK
444 2916 1 1 -7 -11 -16 63 1 OK
445 4091 1 1 -13 -16 -3 63 1 OK
446 4690 1 1 -13 6 -8 63 1 OK
447 4713 0 0 12 -6 15 -64 0 OK
448 4160 0 0 -1 0 -13 -64 0 OK
449 3031 1 1 -8 9 -10 63 1 OK
450 1326 0 0 7 8 10 -64 0 OK
451 5189 0 0 15 15 -1 -64 0 OK
452 2332 0 0 4 4 -14 -64 0 OK
453 5043 1 1 -3 1 14 63 1 OK
454 1034 0 0 9 11 -8 -64 0 OK
455 2593 0 0 11 -12 -5 -64 0 OK
456 3576 0 0 2 8 -6 -64 0 OK
457 3983 1 1 -8 -5 13 63 1 OK
458 3814 0 0 7 -15 -10 -64 0 OK
459 3069 1 1 -3 -5 -9 63 1 OK
460 1748 1 1 -9 14 1 63 1 OK
461 5995 1 1 -15 15 -11 63 1 OK
462 3522 0 0 0 -12 11 -64 0 OK
463 473 1 1 -15 -4 -3 63 1 OK
464 2992 0 0 -1 6 -1 -64 0 OK
465 4935 1 1 -6 -1 15 63 1 OK
466 158 0 0 7 -16 0 -64 0 OK
467 949 1 1 -15 -16 15 63 1 OK
468 1164 1 1 -7 12 10 63 1 OK
469 803 1 1 -5 11 -6 63 1 OK
470 6010 0 0 6 -9 15 -64 0 OK
471 4497 0 0 15 11 -14 -64 0 OK
472 2408 0 0 12 15 1 -64 0 OK
473 5887 1 1 -6 3 10 63 1 OK
474 2646 1 1 -9 3 11 63 1 OK
475 4973 1 1 -3 -3 -16 63 1 OK
476 580 1 1 -9 6 -8 63 1 OK
477 1755 1 1 -16 -10 9 63 1 OK
478 2354 0 0 12 14 15 -64 0 OK
479 2377 0 0 15 -15 14 -64 0 OK
480 1824 0 0 8 6 -16 -64 0 OK
481 695 1 1 -16 1 14 63 1 OK
482 5134 1 1 -16 15 14 63 1 OK
483 2853 0 0 10 5 15 -64 0 OK
484 6140 1 1 -11 -10 13 63 1 OK
485 2707 0 0 11 6 15 -64 0 OK
486 4842 1 1 -7 10 -8 63 1 OK
487 257 1 1 -15 -16 -9 63 1 OK
488 1240 0 0 15 -1 12 -64 0 OK
489 1647 0 0 6 8 10 -64 0 OK
490 1478 0 0 8 -7 -11 -64 0 OK
491 733 1 1 -15 -11 0 63 1 OK
492 5556 1 1 -7 -15 9 63 1 OK
493 3659 1 1 -12 -13 -15 63 1 OK
494 1186 0 0 -1 7 14 -64 0 OK
495 4281 0 0 4 15 -9 -64 0 OK
496 656 0 0 2 -2 -7 -64 0 OK
497 2599 1 1 -7 -8 -2 63 1 OK
498 3966 0 0 10 -7 15 -64 0 OK
499 4757 1 1 -14 11 -11 63 1 OK
500 4972 0 0 6 -13 12 -64 0 OK
501 4611 1 1 -15 7 7 63 1 OK
502 3674 1 1 -16 11 -10 63 1 OK
503 2161 1 1 -16 11 0 63 1 OK
504 72 0 0 8 0 5 -64 0 OK
505 3551 0 0 7 -10 -16 -64 0 OK
506 310 1 1 -16 3 -5 63 1 OK
507 2637 0 0 11 -8 6 -64 0 OK
508 4388 0 0 15 -3 8 -64 0 OK
509 5563 1 1 -10 3 13 63 1 OK
510 18 1 1 -10 -15 -12 63 1 OK
511 41 1 1 -16 -12 -9 63 1 OK
512 5632 0 0 12 2 15 -64 0 OK
513 4503 1 1 -11 8 8 63 1 OK
514 2798 0 0 4 1 -1 -64 0 OK
515 517 0 0 15 14 0 -64 0 OK
516 3804 0 0 7 15 2 -64 0 OK
517 371 1 1 -12 -3 -7 63 1 OK
518 2506 1 1 0 -4 11 63 1 OK
519 4065 1 1 -15 -2 -16 63 1 OK
520 5048 0 0 9 -16 0 -64 0 OK
521 5455 0 0 -4 -16 -6 -64 0 OK
522 5286 1 1 -4 0 -14 63 1 OK
523 4541 0 0 2 13 -5 -64 0 OK
524 3220 1 1 -9 2 -7 63 1 OK
525 1323 0 0 0 15 10 -64 0 OK
526 4994 0 0 15 -16 1 -64 0 OK
527 1945 0 0 2 15 8 -64 0 OK
528 4464 0 0 4 13 15 -64 0 OK
529 263 1 1 -10 11 -16 63 1 OK
530 1630 0 0 8 -15 -16 -64 0 OK
531 2421 0 0 15 10 -5 -64 0 OK
532 2636 0 0 15 4 15 -64 0 OK
533 2275 0 0 14 -9 15 -64 0 OK
534 1338 0 0 8 -13 -12 -64 0 OK
535 5969 1 1 -2 11 0 63 1 OK
536 3880 0 0 0 15 -3 -64 0 OK
537 1215 1 1 -12 -16 15 63 1 OK
538 4118 0 0 11 15 15 -64 0 OK
539 301 0 0 -1 -7 4 -64 0 OK
540 2052 0 0 15 11 11 -64 0 OK
541 3227 1 1 -2 -10 -8 63 1 OK
542 3826 0 0 11 -16 3 -64 0 OK
543 3849 0 0 15 12 15 -64 0 OK
544 3296 1 1 -16 6 1 63 1 OK
545 2167 1 1 -15 -4 -8 63 1 OK
546 462 1 1 -15 15 2 63 1 OK
547 4325 1 1 -5 -7 12 63 1 OK
548 1468 0 0 5 8 11 -64 0 OK
549 4179 1 1 -6 6 8 63 1 OK
550 170 0 0 15 3 -2 -64 0 OK
551 1729 1 1 -4 15 -16 63 1 OK
552 2712 1 1 -3 8 15 63 1 OK
553 3119 0 0 8 0 -5 -64 0 OK
554 2950 1 1 -7 4 -7 63 1 OK
555 2205 1 1 -15 8 13 63 1 OK
556 884 0 0 8 7 -9 -64 0 OK
557 5131 1 1 -5 14 15 63 1 OK
