# idx_orig bit_orig post_llr hard
546 1 34904.43222352 1
547 0 -25434.47398482 0
548 1 27052.41795374 1
549 1 32860.15113961 1
550 1 19247.37219851 1
551 0 -31608.92820179 0
552 0 -22023.27472223 0
553 1 33874.62557510 1
554 1 21157.19533489 1
555 0 -21984.31072498 0
556 1 21213.61410453 1
557 0 -14690.07336395 0
558 1 24844.19790468 1
559 1 17012.83805916 1
560 0 -23455.76343997 0
561 1 17440.51866778 1
562 1 18835.59305329 1
563 0 -22613.06132229 0
564 0 -13490.95711431 0
565 1 24663.26489553 1
566 0 -13746.54156745 0
567 0 -24433.29411417 0
568 0 -16013.63186229 0
569 1 18404.34846852 1
570 1 23694.03314808 1
571 1 22129.10963737 1
572 0 -21506.33557087 0
573 0 -12990.06315561 0
574 0 -27491.43245630 0
575 1 18595.90240871 1
576 1 26403.82346323 1
577 0 -30607.43000857 0
578 0 -25158.51527116 0
579 1 31415.19977721 1
580 1 24927.19576523 1
581 0 -32421.94723967 0
582 0 -28448.21765528 0
583 0 -30652.74141708 0
584 1 36946.69292716 1
585 1 20198.53502391 1
586 1 33079.19609223 1
587 1 29041.81051584 1
588 1 32524.04925638 1
589 0 -29979.71917116 0
590 0 -31226.91909005 0
591 0 -36590.35302683 0
592 0 -25515.58788191 0
593 1 33848.07728051 1
594 1 28087.83206532 1
595 1 35382.27259594 1
596 0 -29096.10045563 0
597 1 31063.09890754 1
598 0 -32443.82396575 0
599 0 -29169.89796602 0
600 0 -29831.44237240 0
601 0 -21208.14120319 0
602 0 -27385.03722655 0
603 1 30044.91086450 1
604 1 29841.16209899 1
605 1 34895.15383490 1
606 0 -26511.11110095 0
607 1 34055.96318922 1
608 1 19834.06883011 1
609 1 26274.15694851 1
610 1 30474.73672582 1
611 1 29777.89659515 1
612 1 35808.64308570 1
613 0 -25904.70334662 0
614 1 38649.72171248 1
615 1 25603.35742500 1
616 1 33088.10353185 1
617 0 -26302.94758701 0
618 1 35709.30995194 1
619 0 -28560.48238362 0
620 1 31305.58345735 1
621 0 -38859.67408793 0
622 1 31385.60698331 1
623 0 -33442.93367344 0
624 1 28539.89121973 1
625 1 34945.15198665 1
626 1 28654.79879623 1
627 0 -29091.98473068 0
628 1 35405.73860054 1
629 1 31940.67449351 1
630 0 -36064.15679424 0
631 1 33801.38073041 1
632 0 -29737.75863861 0
633 0 -26777.46402555 0
634 1 29811.61850003 1
635 0 -33609.72756845 0
636 1 30389.40868468 1
637 1 38602.24846483 1
638 1 32326.89665166 1
639 0 -31931.23118289 0
640 0 -27547.45024424 0
641 1 26004.76942907 1
642 0 -29723.86883959 0
643 1 28239.91212651 1
644 0 -32114.31169939 0
645 1 27245.04510496 1
646 0 -30500.43457991 0
647 0 -28572.70811544 0
648 0 -27178.68556786 0
649 1 29622.52736022 1
650 0 -27897.08192096 0
651 1 32898.53730900 1
652 1 24895.90156248 1
653 0 -32023.63787271 0
654 1 28897.49408699 1
655 0 -28555.02259835 0
656 0 -33311.57855067 0
657 1 27253.56194431 1
658 1 37092.10096956 1
659 0 -27056.06251681 0
660 1 32446.95915548 1
661 0 -34803.96604092 0
662 0 -30198.42208976 0
663 1 36070.23345798 1
664 0 -30652.53486400 0
665 0 -35953.01976849 0
666 0 -26598.64135135 0
667 1 32176.69852726 1
668 1 27155.97186322 1
669 0 -24873.44411546 0
670 1 40531.08155137 1
671 0 -25967.75882424 0
672 0 -31185.55346698 0
673 0 -26525.24817864 0
674 0 -27890.68455948 0
675 0 -25277.75421300 0
676 1 28571.83639660 1
677 1 34380.75808212 1
678 0 -26705.55788959 0
679 0 -35554.73917937 0
680 0 -23708.36467803 0
681 0 -29364.60512201 0
682 0 -29638.41915785 0
683 1 27907.71184422 1
684 1 34940.45417072 1
685 1 27383.79467325 1
686 0 -25179.19055967 0
687 0 -24242.24556595 0
688 0 -29254.16206042 0
689 1 29805.15752232 1
690 0 -31807.38906589 0
691 0 -33044.43012431 0
692 0 -31385.06213781 0
693 1 22323.43044117 1
694 1 28792.50547987 1
695 1 33856.88322929 1
696 0 -24485.04584077 0
697 1 32069.73081758 1
698 1 30347.10953340 1
699 1 24377.31763452 1
700 1 23454.13525714 1
701 1 21754.60610454 1
702 1 29017.31589849 1
703 0 -23214.42081454 0
704 1 32758.92534901 1
705 1 34636.81105194 1
706 0 -25101.53964651 0
707 0 -26987.05933843 0
708 0 -33056.15864479 0
709 1 24571.88003064 1
710 0 -29751.84326299 0
711 0 -26821.88059506 0
712 1 34025.76581554 1
713 0 -30419.35869114 0
714 0 -25694.26470259 0
715 0 -23071.74430220 0
716 1 24364.12136847 1
717 0 -30638.35953895 0
718 0 -25182.89479415 0
719 1 30613.56052833 1
720 1 23671.09173509 1
721 0 -28476.96943963 0
722 0 -25326.64540999 0
723 0 -31226.36794304 0
724 1 29052.34535032 1
725 1 32082.33630621 1
726 1 31579.55348320 1
727 0 -29074.47684497 0
728 1 30815.91865822 1
729 0 -33887.74898536 0
730 0 -30234.35398061 0
731 1 32717.62280118 1
732 0 -30615.36873039 0
733 0 -29816.36050260 0
734 0 -27393.87189624 0
735 1 35205.82929525 1
736 0 -35636.82967969 0
737 1 35505.92430879 1
738 1 31712.54628445 1
739 1 36090.93366008 1
740 1 34943.47562793 1
741 1 28767.91129972 1
742 1 33403.82975677 1
743 0 -36506.84171714 0
744 1 24331.19345801 1
745 0 -31152.90569273 0
746 0 -36086.84435552 0
747 0 -37590.38899067 0
748 0 -33127.03290682 0
749 0 -31476.10895316 0
750 1 32250.55993159 1
751 0 -29800.19333489 0
752 0 -33297.15315889 0
753 0 -29561.90937856 0
754 0 -33452.61596476 0
755 0 -27976.72916676 0
756 1 32054.12218039 1
757 0 -26677.06600443 0
758 1 25037.61586028 1
759 1 28217.59060678 1
760 1 31549.68963854 1
761 0 -31578.19440819 0
762 1 32380.65126647 1
763 1 35144.18467218 1
764 1 27960.20450278 1
765 1 27556.83252605 1
766 0 -28093.76920059 0
767 0 -26221.79068790 0
768 0 -33847.98655026 0
769 0 -27772.16952020 0
770 0 -31129.74757846 0
771 1 27762.95479168 1
772 0 -22292.14262281 0
773 1 31941.11905160 1
774 0 -27029.50786269 0
775 0 -34759.81085085 0
776 1 28454.85468623 1
777 0 -30970.81700284 0
778 0 -31489.98665645 0
779 0 -29042.94880113 0
780 0 -28731.80823611 0
781 0 -27607.43758975 0
782 1 30400.31218690 1
783 0 -29565.22858370 0
784 1 29392.64563964 1
785 0 -29426.87506568 0
786 1 26613.85289475 1
